"Ensembl_gene_identifier","Symbol","type_of_gene"
"ENSG00000248144","ADH1C","protein-coding"
"ENSG00000198099","ADH4","protein-coding"
"ENSG00000197894","ADH5","protein-coding"
"ENSG00000172955","ADH6","protein-coding"
"ENSG00000196344","ADH7","protein-coding"
"ENSG00000156110","ADK","protein-coding"
"ENSG00000148926","ADM","protein-coding"
"ENSG00000163485","ADORA1","protein-coding"
"ENSG00000128271","ADORA2A","protein-coding"
"ENSG00000170425","ADORA2B","protein-coding"
"ENSG00000282608","ADORA3","protein-coding"
"ENSG00000144843","ADPRH","protein-coding"
"ENSG00000143799","PARP1","protein-coding"
"ENSG00000102699","PARP4","protein-coding"
"ENSG00000171873","ADRA1D","protein-coding"
"ENSG00000170214","ADRA1B","protein-coding"
"ENSG00000120907","ADRA1A","protein-coding"
"ENSG00000150594","ADRA2A","protein-coding"
"ENSG00000274286","ADRA2B","protein-coding"
"ENSG00000184160","ADRA2C","protein-coding"
"ENSG00000043591","ADRB1","protein-coding"
"ENSG00000169252","ADRB2","protein-coding"
"ENSG00000188778","ADRB3","protein-coding"
"ENSG00000173020","GRK2","protein-coding"
"ENSG00000100077","GRK3","protein-coding"
"ENSG00000239900","ADSL","protein-coding"
"ENSG00000035687","ADSS2","protein-coding"
"ENSG00000196961","AP2A1","protein-coding"
"ENSG00000183020","AP2A2","protein-coding"
"ENSG00000100280","AP1B1","protein-coding"
"ENSG00000006125","AP2B1","protein-coding"
"ENSG00000166747","AP1G1","protein-coding"
"ENSG00000106624","AEBP1","protein-coding"
"ENSG00000104964","TLE5","protein-coding"
"ENSG00000124812","CRISP1","protein-coding"
"ENSG00000223959","AFG3L1P","pseudo"
"ENSG00000079557","AFM","protein-coding"
"ENSG00000081051","AFP","protein-coding"
"ENSG00000038002","AGA","protein-coding"
"ENSG00000157766","ACAN","protein-coding"
"ENSG00000204305","AGER","protein-coding"
"ENSG00000162688","AGL","protein-coding"
"ENSG00000159723","AGRP","protein-coding"
"ENSG00000101384","JAG1","protein-coding"
"ENSG00000135744","AGT","protein-coding"
"ENSG00000144891","AGTR1","protein-coding"
"ENSG00000180772","AGTR2","protein-coding"
"ENSG00000134817","APLNR","protein-coding"
"ENSG00000172482","AGXT","protein-coding"
"ENSG00000169297","NR0B1","protein-coding"
"ENSG00000101444","AHCY","protein-coding"
"ENSG00000106546","AHR","protein-coding"
"ENSG00000145192","AHSG","protein-coding"
"ENSG00000204472","AIF1","protein-coding"
"ENSG00000112297","CRYBG1","protein-coding"
"ENSG00000106992","AK1","protein-coding"
"ENSG00000004455","AK2","protein-coding"
"ENSG00000162433","AK4","protein-coding"
"ENSG00000142208","AKT1","protein-coding"
"ENSG00000105221","AKT2","protein-coding"
"ENSG00000148218","ALAD","protein-coding"
"ENSG00000023330","ALAS1","protein-coding"
"ENSG00000158578","ALAS2","protein-coding"
"ENSG00000163631","ALB","protein-coding"
"ENSG00000170017","ALCAM","protein-coding"
"ENSG00000101986","ABCD1","protein-coding"
"ENSG00000165092","ALDH1A1","protein-coding"
"ENSG00000111275","ALDH2","protein-coding"
"ENSG00000108602","ALDH3A1","protein-coding"
"ENSG00000137124","ALDH1B1","protein-coding"
"ENSG00000184254","ALDH1A3","protein-coding"
"ENSG00000006534","ALDH3B1","protein-coding"
"ENSG00000132746","ALDH3B2","protein-coding"
"ENSG00000143149","ALDH9A1","protein-coding"
"ENSG00000072210","ALDH3A2","protein-coding"
"ENSG00000173208","ABCD2","protein-coding"
"ENSG00000149925","ALDOA","protein-coding"
"ENSG00000136872","ALDOB","protein-coding"
"ENSG00000109107","ALDOC","protein-coding"
"ENSG00000085662","AKR1B1","protein-coding"
"ENSG00000171094","ALK","protein-coding"
"ENSG00000108839","ALOX12","protein-coding"
"ENSG00000012779","ALOX5","protein-coding"
"ENSG00000132965","ALOX5AP","protein-coding"
"ENSG00000179477","ALOX12B","protein-coding"
"ENSG00000262943","ALOX12P2","pseudo"
"ENSG00000161905","ALOX15","protein-coding"
"ENSG00000179593","ALOX15B","protein-coding"
"ENSG00000163295","ALPI","protein-coding"
"ENSG00000162551","ALPL","protein-coding"
"ENSG00000163283","ALPP","protein-coding"
"ENSG00000163286","ALPG","protein-coding"
"ENSG00000156150","ALX3","protein-coding"
"ENSG00000178522","AMBN","protein-coding"
"ENSG00000106927","AMBP","protein-coding"
"ENSG00000123505","AMD1","protein-coding"
"ENSG00000125363","AMELX","protein-coding"
"ENSG00000099721","AMELY","protein-coding"
"ENSG00000159461","AMFR","protein-coding"
"ENSG00000104899","AMH","protein-coding"
"ENSG00000135409","AMHR2","protein-coding"
"ENSG00000116748","AMPD1","protein-coding"
"ENSG00000116337","AMPD2","protein-coding"
"ENSG00000133805","AMPD3","protein-coding"
"ENSG00000078053","AMPH","protein-coding"
"ENSG00000136717","BIN1","protein-coding"
"ENSG00000145020","AMT","protein-coding"
"ENSG00000237763","AMY1A","protein-coding"
"ENSG00000174876","AMY1B","protein-coding"
"ENSG00000187733","AMY1C","protein-coding"
"ENSG00000243480","AMY2A","protein-coding"
"ENSG00000240038","AMY2B","protein-coding"
"ENSG00000214274","ANG","protein-coding"
"ENSG00000154188","ANGPT1","protein-coding"
"ENSG00000091879","ANGPT2","protein-coding"
"ENSG00000029534","ANK1","protein-coding"
"ENSG00000145362","ANK2","protein-coding"
"ENSG00000151150","ANK3","protein-coding"
"ENSG00000166825","ANPEP","protein-coding"
"ENSG00000151729","SLC25A4","protein-coding"
"ENSG00000005022","SLC25A5","protein-coding"
"ENSG00000169100","SLC25A6","protein-coding"
"ENSG00000135046","ANXA1","protein-coding"
"ENSG00000182718","ANXA2","protein-coding"
"ENSG00000138772","ANXA3","protein-coding"
"ENSG00000196975","ANXA4","protein-coding"
"ENSG00000164111","ANXA5","protein-coding"
"ENSG00000197043","ANXA6","protein-coding"
"ENSG00000138279","ANXA7","protein-coding"
"ENSG00000122359","ANXA11","protein-coding"
"ENSG00000104537","ANXA13","protein-coding"
"ENSG00000136250","AOAH","protein-coding"
"ENSG00000131480","AOC2","protein-coding"
"ENSG00000138356","AOX1","protein-coding"
"ENSG00000120868","APAF1","protein-coding"
"ENSG00000164978","NUDT2","protein-coding"
"ENSG00000175336","APOF","protein-coding"
"ENSG00000107282","APBA1","protein-coding"
"ENSG00000034053","APBA2","protein-coding"
"ENSG00000166313","APBB1","protein-coding"
"ENSG00000163697","APBB2","protein-coding"
"ENSG00000134982","APC","protein-coding"
"ENSG00000132703","APCS","protein-coding"
"ENSG00000160224","AIRE","protein-coding"
"ENSG00000164062","APEH","protein-coding"
"ENSG00000100823","APEX1","protein-coding"
"ENSG00000110330","BIRC2","protein-coding"
"ENSG00000023445","BIRC3","protein-coding"
"ENSG00000101966","XIAP","protein-coding"
"ENSG00000089685","BIRC5","protein-coding"
"ENSG00000105290","APLP1","protein-coding"
"ENSG00000084234","APLP2","protein-coding"
"ENSG00000118137","APOA1","protein-coding"
"ENSG00000158874","APOA2","protein-coding"
"ENSG00000110244","APOA4","protein-coding"
"ENSG00000084674","APOB","protein-coding"
"ENSG00000111701","APOBEC1","protein-coding"
"ENSG00000130208","APOC1","protein-coding"
"ENSG00000214855","APOC1P1","pseudo"
"ENSG00000103375","AQP8","protein-coding"
"ENSG00000234906","APOC2","protein-coding"
"ENSG00000110245","APOC3","protein-coding"
"ENSG00000267467","APOC4","protein-coding"
"ENSG00000189058","APOD","protein-coding"
"ENSG00000130203","APOE","protein-coding"
"ENSG00000091583","APOH","protein-coding"
"ENSG00000142192","APP","protein-coding"
"ENSG00000198931","APRT","protein-coding"
"ENSG00000142515","KLK3","protein-coding"
"ENSG00000026103","FAS","protein-coding"
"ENSG00000117560","FASLG","protein-coding"
"ENSG00000146950","SHROOM2","protein-coding"
"ENSG00000240583","AQP1","protein-coding"
"ENSG00000167580","AQP2","protein-coding"
"ENSG00000165272","AQP3","protein-coding"
"ENSG00000171885","AQP4","protein-coding"
"ENSG00000161798","AQP5","protein-coding"
"ENSG00000086159","AQP6","protein-coding"
"ENSG00000165269","AQP7","protein-coding"
"ENSG00000103569","AQP9","protein-coding"
"ENSG00000169083","AR","protein-coding"
"ENSG00000091262","ABCC6","protein-coding"
"ENSG00000078061","ARAF","protein-coding"
"ENSG00000095139","ARCN1","protein-coding"
"ENSG00000113595","TRIM23","protein-coding"
"ENSG00000109321","AREG","protein-coding"
"ENSG00000143761","ARF1","protein-coding"
"ENSG00000134287","ARF3","protein-coding"
"ENSG00000168374","ARF4","protein-coding"
"ENSG00000175906","ARL4D","protein-coding"
"ENSG00000004059","ARF5","protein-coding"
"ENSG00000165527","ARF6","protein-coding"
"ENSG00000118520","ARG1","protein-coding"
"ENSG00000081181","ARG2","protein-coding"
"ENSG00000067560","RHOA","protein-coding"
"ENSG00000143878","RHOB","protein-coding"
"ENSG00000155366","RHOC","protein-coding"
"ENSG00000115963","RND3","protein-coding"
"ENSG00000177105","RHOG","protein-coding"
"ENSG00000175220","ARHGAP1","protein-coding"
"ENSG00000089820","ARHGAP4","protein-coding"
"ENSG00000100852","ARHGAP5","protein-coding"
"ENSG00000047648","ARHGAP6","protein-coding"
"ENSG00000141522","ARHGDIA","protein-coding"
"ENSG00000111348","ARHGDIB","protein-coding"
"ENSG00000242173","ARHGDIG","protein-coding"
"ENSG00000168421","RHOH","protein-coding"
"ENSG00000120805","ARL1","protein-coding"
"ENSG00000165462","PHOX2A","protein-coding"
"ENSG00000213465","ARL2","protein-coding"
"ENSG00000138175","ARL3","protein-coding"
"ENSG00000143437","ARNT","protein-coding"
"ENSG00000133794","ARNTL","protein-coding"
"ENSG00000120500","ARR3","protein-coding"
"ENSG00000137486","ARRB1","protein-coding"
"ENSG00000141480","ARRB2","protein-coding"
"ENSG00000100299","ARSA","protein-coding"
"ENSG00000113273","ARSB","protein-coding"
"ENSG00000101846","STS","protein-coding"
"ENSG00000006756","ARSD","protein-coding"
"ENSG00000157399","ARSL","protein-coding"
"ENSG00000062096","ARSF","protein-coding"
"ENSG00000129744","ART1","protein-coding"
"ENSG00000156219","ART3","protein-coding"
"ENSG00000111339","ART4","protein-coding"
"ENSG00000099889","ARVCF","protein-coding"
"ENSG00000104763","ASAH1","protein-coding"
"ENSG00000139352","ASCL1","protein-coding"
"ENSG00000183734","ASCL2","protein-coding"
"ENSG00000141505","ASGR1","protein-coding"
"ENSG00000161944","ASGR2","protein-coding"
"ENSG00000101440","ASIP","protein-coding"
"ENSG00000126522","ASL","protein-coding"
"ENSG00000196433","ASMT","protein-coding"
"ENSG00000198356","GET3","protein-coding"
"ENSG00000070669","ASNS","protein-coding"
"ENSG00000108381","ASPA","protein-coding"
"ENSG00000198363","ASPH","protein-coding"
"ENSG00000130707","ASS1","protein-coding"
"ENSG00000152092","ASTN1","protein-coding"
"ENSG00000117601","SERPINC1","protein-coding"
"ENSG00000140836","ZFHX3","protein-coding"
"ENSG00000123268","ATF1","protein-coding"
"ENSG00000162772","ATF3","protein-coding"
"ENSG00000128272","ATF4","protein-coding"
"ENSG00000138363","ATIC","protein-coding"
"ENSG00000149311","ATM","protein-coding"
"ENSG00000142599","RERE","protein-coding"
"ENSG00000172238","ATOH1","protein-coding"
"ENSG00000177556","ATOX1","protein-coding"
"ENSG00000163399","ATP1A1","protein-coding"
"ENSG00000018625","ATP1A2","protein-coding"
"ENSG00000105409","ATP1A3","protein-coding"
"ENSG00000075673","ATP12A","protein-coding"
"ENSG00000132681","ATP1A4","protein-coding"
"ENSG00000143153","ATP1B1","protein-coding"
"ENSG00000129244","ATP1B2","protein-coding"
"ENSG00000069849","ATP1B3","protein-coding"
"ENSG00000137731","FXYD2","protein-coding"
"ENSG00000196296","ATP2A1","protein-coding"
"ENSG00000174437","ATP2A2","protein-coding"
"ENSG00000074370","ATP2A3","protein-coding"
"ENSG00000070961","ATP2B1","protein-coding"
"ENSG00000157087","ATP2B2","protein-coding"
"ENSG00000067842","ATP2B3","protein-coding"
"ENSG00000058668","ATP2B4","protein-coding"
"ENSG00000105675","ATP4A","protein-coding"
"ENSG00000186009","ATP4B","protein-coding"
"ENSG00000152234","ATP5F1A","protein-coding"
"ENSG00000164904","ALDH7A1","protein-coding"
"ENSG00000110955","ATP5F1B","protein-coding"
"ENSG00000165629","ATP5F1C","protein-coding"
"ENSG00000099624","ATP5F1D","protein-coding"
"ENSG00000124172","ATP5F1E","protein-coding"
"ENSG00000116459","ATP5PB","protein-coding"
"ENSG00000159199","ATP5MC1","protein-coding"
"ENSG00000135390","ATP5MC2","protein-coding"
"ENSG00000154518","ATP5MC3","protein-coding"
"ENSG00000169020","ATP5ME","protein-coding"
"ENSG00000154723","ATP5PF","protein-coding"
"ENSG00000114573","ATP6V1A","protein-coding"
"ENSG00000116039","ATP6V1B1","protein-coding"
"ENSG00000147416","ATP6V1B2","protein-coding"
"ENSG00000185883","ATP6V0C","protein-coding"
"ENSG00000155097","ATP6V1C1","protein-coding"
"ENSG00000131100","ATP6V1E1","protein-coding"
"ENSG00000117410","ATP6V0B","protein-coding"
"ENSG00000213760","ATP6V1G2","protein-coding"
"ENSG00000033627","ATP6V0A1","protein-coding"
"ENSG00000071553","ATP6AP1","protein-coding"
"ENSG00000165240","ATP7A","protein-coding"
"ENSG00000241837","ATP5PO","protein-coding"
"ENSG00000123191","ATP7B","protein-coding"
"ENSG00000175054","ATR","protein-coding"
"ENSG00000085224","ATRX","protein-coding"
"ENSG00000130294","KIF1A","protein-coding"
"ENSG00000148090","AUH","protein-coding"
"ENSG00000115307","AUP1","protein-coding"
"ENSG00000101200","AVP","protein-coding"
"ENSG00000166148","AVPR1A","protein-coding"
"ENSG00000198049","AVPR1B","protein-coding"
"ENSG00000126895","AVPR2","protein-coding"
"ENSG00000167601","AXL","protein-coding"
"ENSG00000160862","AZGP1","protein-coding"
"ENSG00000172232","AZU1","protein-coding"
"ENSG00000166710","B2M","protein-coding"
"ENSG00000136881","BAAT","protein-coding"
"ENSG00000156273","BACH1","protein-coding"
"ENSG00000002330","BAD","protein-coding"
"ENSG00000107262","BAG1","protein-coding"
"ENSG00000181790","ADGRB1","protein-coding"
"ENSG00000121753","ADGRB2","protein-coding"
"ENSG00000135298","ADGRB3","protein-coding"
"ENSG00000030110","BAK1","protein-coding"
"ENSG00000109705","NKX3-2","protein-coding"
"ENSG00000138376","BARD1","protein-coding"
"ENSG00000087088","BAX","protein-coding"
"ENSG00000174483","BBS1","protein-coding"
"ENSG00000125124","BBS2","protein-coding"
"ENSG00000140463","BBS4","protein-coding"
"ENSG00000060982","BCAT1","protein-coding"
"ENSG00000105552","BCAT2","protein-coding"
"ENSG00000114200","BCHE","protein-coding"
"ENSG00000248098","BCKDHA","protein-coding"
"ENSG00000083123","BCKDHB","protein-coding"
"ENSG00000110092","CCND1","protein-coding"
"ENSG00000171791","BCL2","protein-coding"
"ENSG00000140379","BCL2A1","protein-coding"
"ENSG00000171552","BCL2L1","protein-coding"
"ENSG00000129473","BCL2L2","protein-coding"
"ENSG00000069399","BCL3","protein-coding"
"ENSG00000113916","BCL6","protein-coding"
"ENSG00000110987","BCL7A","protein-coding"
"ENSG00000116128","BCL9","protein-coding"
"ENSG00000048462","TNFRSF17","protein-coding"
"ENSG00000099822","HCN2","protein-coding"
"ENSG00000128617","OPN1SW","protein-coding"
"ENSG00000186716","BCR","protein-coding"
"ENSG00000074582","BCS1L","protein-coding"
"ENSG00000236824","BCYRN1","ncRNA"
"ENSG00000161267","BDH1","protein-coding"
"ENSG00000100739","BDKRB1","protein-coding"
"ENSG00000168398","BDKRB2","protein-coding"
"ENSG00000176697","BDNF","protein-coding"
"ENSG00000243649","CFB","protein-coding"
"ENSG00000125864","BFSP1","protein-coding"
"ENSG00000242252","BGLAP","protein-coding"
"ENSG00000182492","BGN","protein-coding"
"ENSG00000079385","CEACAM1","protein-coding"
"ENSG00000145692","BHMT","protein-coding"
"ENSG00000151746","BICD1","protein-coding"
"ENSG00000015475","BID","protein-coding"
"ENSG00000100290","BIK","protein-coding"
"ENSG00000057657","PRDM1","protein-coding"
"ENSG00000136573","BLK","protein-coding"
"ENSG00000197299","BLM","protein-coding"
"ENSG00000108578","BLMH","protein-coding"
"ENSG00000160683","CXCR5","protein-coding"
"ENSG00000106605","BLVRA","protein-coding"
"ENSG00000090013","BLVRB","protein-coding"
"ENSG00000169594","BNC1","protein-coding"
"ENSG00000168283","BMI1","protein-coding"
"ENSG00000168487","BMP1","protein-coding"
"ENSG00000125845","BMP2","protein-coding"
"ENSG00000152785","BMP3","protein-coding"
"ENSG00000125378","BMP4","protein-coding"
"ENSG00000112175","BMP5","protein-coding"
"ENSG00000153162","BMP6","protein-coding"
"ENSG00000101144","BMP7","protein-coding"
"ENSG00000116985","BMP8B","protein-coding"
"ENSG00000107779","BMPR1A","protein-coding"
"ENSG00000138696","BMPR1B","protein-coding"
"ENSG00000204217","BMPR2","protein-coding"
"ENSG00000102010","BMX","protein-coding"
"ENSG00000168495","POLR3D","protein-coding"
"ENSG00000113734","BNIP1","protein-coding"
"ENSG00000140299","BNIP2","protein-coding"
"ENSG00000176171","BNIP3","protein-coding"
"ENSG00000104765","BNIP3L","protein-coding"
"ENSG00000176720","BOK","protein-coding"
"ENSG00000151914","DST","protein-coding"
"ENSG00000183770","FOXL2","protein-coding"
"ENSG00000172331","BPGM","protein-coding"
"ENSG00000137274","BPHL","protein-coding"
"ENSG00000101425","BPI","protein-coding"
"ENSG00000012048","BRCA1","protein-coding"
"ENSG00000157764","BRAF","protein-coding"
"ENSG00000139618","BRCA2","protein-coding"
"ENSG00000137948","BRDT","protein-coding"
"ENSG00000185650","ZFP36L1","protein-coding"
"ENSG00000152518","ZFP36L2","protein-coding"
"ENSG00000102239","BRS3","protein-coding"
"ENSG00000172270","BSG","protein-coding"
"ENSG00000109743","BST1","protein-coding"
"ENSG00000130303","BST2","protein-coding"
"ENSG00000174808","BTC","protein-coding"
"ENSG00000169814","BTD","protein-coding"
"ENSG00000119138","KLF9","protein-coding"
"ENSG00000102554","KLF5","protein-coding"
"ENSG00000145741","BTF3","protein-coding"
"ENSG00000133639","BTG1","protein-coding"
"ENSG00000010671","BTK","protein-coding"
"ENSG00000124557","BTN1A1","protein-coding"
"ENSG00000169679","BUB1","protein-coding"
"ENSG00000156970","BUB1B","protein-coding"
"ENSG00000112578","BYSL","protein-coding"
"ENSG00000100300","TSPO","protein-coding"
"ENSG00000108561","C1QBP","protein-coding"
"ENSG00000149131","SERPING1","protein-coding"
"ENSG00000281708","ERC2-IT1","ncRNA"
"ENSG00000173372","C1QA","protein-coding"
"ENSG00000173369","C1QB","protein-coding"
"ENSG00000159189","C1QC","protein-coding"
"ENSG00000159403","C1R","protein-coding"
"ENSG00000182326","C1S","protein-coding"
"ENSG00000166278","C2","protein-coding"
"ENSG00000125730","C3","protein-coding"
"ENSG00000171860","C3AR1","protein-coding"
"ENSG00000244731","C4A","protein-coding"
"ENSG00000224389","C4B","protein-coding"
"ENSG00000123838","C4BPA","protein-coding"
"ENSG00000123843","C4BPB","protein-coding"
"ENSG00000149260","CAPN5","protein-coding"
"ENSG00000106804","C5","protein-coding"
"ENSG00000197405","C5AR1","protein-coding"
"ENSG00000039537","C6","protein-coding"
"ENSG00000112936","C7","protein-coding"
"ENSG00000157131","C8A","protein-coding"
"ENSG00000021852","C8B","protein-coding"
"ENSG00000176919","C8G","protein-coding"
"ENSG00000164823","OSGIN2","protein-coding"
"ENSG00000113600","C9","protein-coding"
"ENSG00000149823","VPS51","protein-coding"
"ENSG00000149792","MRPL49","protein-coding"
"ENSG00000174276","ZNHIT2","protein-coding"
"ENSG00000066382","MPPED2","protein-coding"
"ENSG00000124920","MYRF","protein-coding"
"ENSG00000134825","TMEM258","protein-coding"
"ENSG00000134780","DAGLA","protein-coding"
"ENSG00000221819","GAS8-AS1","ncRNA"
"ENSG00000184922","FMNL1","protein-coding"
"ENSG00000168675","LDLRAD4","protein-coding"
"ENSG00000183255","PTTG1IP","protein-coding"
"ENSG00000160226","CFAP410","protein-coding"
"ENSG00000142188","TMEM50B","protein-coding"
"ENSG00000186732","MPPED1","protein-coding"
"ENSG00000133742","CA1","protein-coding"
"ENSG00000104267","CA2","protein-coding"
"ENSG00000164879","CA3","protein-coding"
"ENSG00000167434","CA4","protein-coding"
"ENSG00000174990","CA5A","protein-coding"
"ENSG00000131686","CA6","protein-coding"
"ENSG00000168748","CA7","protein-coding"
"ENSG00000178538","CA8","protein-coding"
"ENSG00000107159","CA9","protein-coding"
"ENSG00000063180","CA11","protein-coding"
"ENSG00000074410","CA12","protein-coding"
"ENSG00000141837","CACNA1A","protein-coding"
"ENSG00000148408","CACNA1B","protein-coding"
"ENSG00000151067","CACNA1C","protein-coding"
"ENSG00000157388","CACNA1D","protein-coding"
"ENSG00000198216","CACNA1E","protein-coding"
"ENSG00000102001","CACNA1F","protein-coding"
"ENSG00000081248","CACNA1S","protein-coding"
"ENSG00000204580","DDR1","protein-coding"
"ENSG00000153956","CACNA2D1","protein-coding"
"ENSG00000067191","CACNB1","protein-coding"
"ENSG00000165995","CACNB2","protein-coding"
"ENSG00000167535","CACNB3","protein-coding"
"ENSG00000182389","CACNB4","protein-coding"
"ENSG00000108878","CACNG1","protein-coding"
"ENSG00000178537","SLC25A20","protein-coding"
"ENSG00000084774","CAD","protein-coding"
"ENSG00000104327","CALB1","protein-coding"
"ENSG00000172137","CALB2","protein-coding"
"ENSG00000169906","S100G","protein-coding"
"ENSG00000110680","CALCA","protein-coding"
"ENSG00000175868","CALCB","protein-coding"
"ENSG00000004948","CALCR","protein-coding"
"ENSG00000122786","CALD1","protein-coding"
"ENSG00000198668","CALM1","protein-coding"
"ENSG00000143933","CALM2","protein-coding"
"ENSG00000160014","CALM3","protein-coding"
"ENSG00000178363","CALML3","protein-coding"
"ENSG00000179218","CALR","protein-coding"
"ENSG00000128595","CALU","protein-coding"
"ENSG00000152495","CAMK4","protein-coding"
"ENSG00000070808","CAMK2A","protein-coding"
"ENSG00000058404","CAMK2B","protein-coding"
"ENSG00000145349","CAMK2D","protein-coding"
"ENSG00000148660","CAMK2G","protein-coding"
"ENSG00000164615","CAMLG","protein-coding"
"ENSG00000164047","CAMP","protein-coding"
"ENSG00000127022","CANX","protein-coding"
"ENSG00000042493","CAPG","protein-coding"
"ENSG00000014216","CAPN1","protein-coding"
"ENSG00000162909","CAPN2","protein-coding"
"ENSG00000092529","CAPN3","protein-coding"
"ENSG00000126247","CAPNS1","protein-coding"
"ENSG00000077274","CAPN6","protein-coding"
"ENSG00000105519","CAPS","protein-coding"
"ENSG00000116489","CAPZA1","protein-coding"
"ENSG00000198898","CAPZA2","protein-coding"
"ENSG00000153113","CAST","protein-coding"
"ENSG00000077549","CAPZB","protein-coding"
"ENSG00000110619","CARS1","protein-coding"
"ENSG00000137752","CASP1","protein-coding"
"ENSG00000106144","CASP2","protein-coding"
"ENSG00000164305","CASP3","protein-coding"
"ENSG00000196954","CASP4","protein-coding"
"ENSG00000137757","CASP5","protein-coding"
"ENSG00000138794","CASP6","protein-coding"
"ENSG00000165806","CASP7","protein-coding"
"ENSG00000064012","CASP8","protein-coding"
"ENSG00000132906","CASP9","protein-coding"
"ENSG00000003400","CASP10","protein-coding"
"ENSG00000143318","CASQ1","protein-coding"
"ENSG00000118729","CASQ2","protein-coding"
"ENSG00000036828","CASR","protein-coding"
"ENSG00000121691","CAT","protein-coding"
"ENSG00000105974","CAV1","protein-coding"
"ENSG00000105971","CAV2","protein-coding"
"ENSG00000182533","CAV3","protein-coding"
"ENSG00000124813","RUNX2","protein-coding"
"ENSG00000159216","RUNX1","protein-coding"
"ENSG00000079102","RUNX1T1","protein-coding"
"ENSG00000129993","CBFA2T3","protein-coding"
"ENSG00000020633","RUNX3","protein-coding"
"ENSG00000067955","CBFB","protein-coding"
"ENSG00000170099","SERPINA6","protein-coding"
